client_number,customer_age,gender,dependents,education_level,marital_status,state,zipcode,car_owner,house_owner,personal_loan,contact,customer_job,income_of_customer,customer_satisfaction_score
C100263,28,Male,2,Graduated,Widow,Abha,36610,No,Yes,Yes,Telephone,Private Employee,13760,3
C100264,56,Male,1,Graduated,Single,Jeddah,41531,Yes,No,Yes,Telephone,Businessman,34210,5
C100265,48,Female,2,Unknown,Single,Tabuk,66554,Yes,Yes,No,Unknown,Private Employee,36287,3
C100266,23,Female,2,High School,Single,Riyadh,95016,No,No,Yes,Telephone,Self-employed,29390,2
C100267,58,Female,4,Post-Graduate,Widow,Abha,66828,Yes,Yes,Yes,Cellular,Self-employed,10548,1
C100268,22,Female,1,Unknown,Single,Mecca,39683,No,No,No,Cellular,Self-employed,48330,3
C100269,51,Male,1,Uneducated,Divorced,Mecca,88159,No,Yes,Yes,Cellular,Student,48906,5
C100270,50,Female,1,Uneducated,Divorced,Jeddah,31842,Yes,No,No,Cellular,Businessman,46649,4
C100271,47,Female,0,Uneducated,Divorced,Jeddah,32377,Yes,No,No,Unknown,Businessman,35001,2
C100272,50,Male,0,Unknown,Divorced,Medina,78848,Yes,Yes,Yes,Cellular,Government Employee,24998,4
C100273,51,Female,4,High School,Widow,Mecca,57748,No,Yes,No,Telephone,Freelancer,24871,5
C100274,62,Female,0,High School,Single,Dammam,63781,Yes,Yes,No,Telephone,Businessman,19014,5
C100275,64,Female,2,Uneducated,Single,Medina,59516,Yes,No,No,Unknown,Self-employed,20387,3
C100276,41,Female,4,Graduated,Divorced,Mecca,34978,Yes,No,Yes,Telephone,Unemployed,32820,5
C100277,42,Female,0,Unknown,Widow,Dammam,71121,Yes,No,Yes,Telephone,Private Employee,21891,1
C100278,38,Male,3,Unknown,Married,Mecca,87735,Yes,Yes,No,Telephone,Businessman,31201,3
C100279,62,Male,0,High School,Married,Tabuk,47128,Yes,Yes,No,Cellular,Freelancer,15892,4
C100280,57,Male,2,Uneducated,Single,Jazan,56482,Yes,No,No,Telephone,Businessman,20121,3
C100281,58,Female,1,Post-Graduate,Widow,Tabuk,85781,Yes,Yes,No,Cellular,Private Employee,39325,2
C100282,39,Female,0,High School,Widow,Abha,34034,No,No,Yes,Cellular,Student,31960,3
C100283,52,Female,3,High School,Widow,Jazan,65116,No,No,Yes,Unknown,Businessman,30585,1
C100284,28,Female,1,Post-Graduate,Divorced,Dammam,91381,No,Yes,No,Cellular,Private Employee,46914,1
C100285,49,Female,0,Unknown,Single,Mecca,95181,Yes,No,Yes,Telephone,Student,34553,3
C100286,23,Male,4,Doctorate,Single,Medina,77667,Yes,No,Yes,Cellular,Freelancer,44921,2
C100287,39,Female,0,Graduated,Married,Jeddah,18800,Yes,Yes,Yes,Unknown,Businessman,19200,2
C100288,26,Female,0,Post-Graduate,Widow,Taif,17294,Yes,No,No,Telephone,Self-employed,18396,5
C100289,36,Female,4,Unknown,Widow,Dammam,93387,Yes,Yes,Yes,Unknown,Freelancer,18773,2
C100290,52,Male,3,Graduated,Divorced,Mecca,97495,Yes,No,No,Unknown,Government Employee,28636,4
C100291,64,Male,3,Graduated,Widow,Dammam,13666,No,No,Yes,Unknown,Private Employee,3722,5
C100292,39,Male,4,Graduated,Single,Tabuk,28258,No,No,No,Cellular,Self-employed,26445,5
C100293,52,Male,2,Doctorate,Widow,Abha,18226,Yes,Yes,No,Unknown,Freelancer,39906,3
C100294,49,Male,2,Doctorate,Divorced,Taif,18940,No,No,No,Unknown,Freelancer,14821,5
C100295,65,Female,1,Doctorate,Divorced,Tabuk,86610,No,Yes,Yes,Cellular,Unemployed,13431,2
C100296,26,Male,3,Doctorate,Widow,Tabuk,40347,Yes,Yes,Yes,Unknown,Private Employee,30528,1
C100297,23,Female,0,Unknown,Single,Jazan,59063,Yes,Yes,No,Cellular,Freelancer,32459,4
C100298,28,Male,1,High School,Widow,Jazan,98978,No,Yes,Yes,Unknown,Self-employed,31446,5
C100299,32,Male,4,Unknown,Single,Medina,14356,Yes,Yes,No,Telephone,Student,38820,1
C100300,41,Male,4,Graduated,Married,Medina,84759,No,No,No,Unknown,Student,12035,1
C100301,48,Female,3,Unknown,Single,Dammam,77796,No,Yes,Yes,Telephone,Self-employed,6373,5
C100302,54,Female,0,Uneducated,Divorced,Mecca,61173,No,Yes,Yes,Telephone,Businessman,38023,5
C100303,35,Female,3,Post-Graduate,Single,Abha,24532,No,No,Yes,Cellular,Government Employee,30617,3
C100304,32,Female,0,Uneducated,Married,Abha,53202,Yes,Yes,No,Cellular,Unemployed,39952,5
C100305,64,Male,2,Unknown,Widow,Jeddah,82276,No,Yes,No,Unknown,Businessman,9819,1
C100306,51,Male,2,Graduated,Widow,Mecca,39852,Yes,Yes,Yes,Cellular,Student,42854,4
C100307,63,Male,4,Graduated,Single,Taif,59444,Yes,No,No,Unknown,Self-employed,10574,4
C100308,27,Female,2,Uneducated,Divorced,Taif,17592,Yes,Yes,Yes,Unknown,Businessman,17884,4
C100309,54,Male,0,Doctorate,Married,Riyadh,20041,Yes,Yes,No,Cellular,Government Employee,5865,3
C100310,42,Male,2,Uneducated,Widow,Jazan,96190,Yes,Yes,Yes,Telephone,Student,16491,4
C100311,65,Female,1,Graduated,Divorced,Tabuk,82273,No,Yes,No,Telephone,Freelancer,38482,5
C100312,26,Male,2,Graduated,Widow,Mecca,20282,Yes,Yes,Yes,Telephone,Freelancer,39239,2
C100313,27,Female,1,Unknown,Married,Jazan,95184,No,Yes,Yes,Telephone,Unemployed,5212,3
C100314,37,Female,2,Unknown,Single,Mecca,89920,No,No,Yes,Telephone,Private Employee,32099,1
C100315,34,Male,3,Uneducated,Widow,Abha,16849,No,Yes,No,Cellular,Student,25034,3
C100316,57,Male,0,High School,Widow,Taif,17486,Yes,No,No,Unknown,Private Employee,30776,5
C100317,56,Female,1,Graduated,Widow,Medina,27284,Yes,No,No,Cellular,Self-employed,38573,3
C100318,41,Female,0,Post-Graduate,Divorced,Tabuk,45225,No,Yes,Yes,Telephone,Student,46304,3
C100319,36,Male,3,Graduated,Single,Jazan,11162,No,Yes,No,Telephone,Freelancer,39477,2
C100320,46,Male,4,Unknown,Divorced,Abha,51160,Yes,No,Yes,Telephone,Unemployed,21097,3
C100321,51,Male,1,Doctorate,Married,Dammam,90995,Yes,Yes,Yes,Unknown,Businessman,15075,5
C100322,48,Female,0,Post-Graduate,Married,Riyadh,43954,No,Yes,No,Unknown,Freelancer,5931,5
C100323,35,Female,0,Unknown,Widow,Jeddah,76982,Yes,Yes,Yes,Telephone,Student,27337,4
C100324,24,Female,2,Uneducated,Single,Tabuk,89556,No,No,No,Unknown,Government Employee,33846,3
C100325,59,Male,1,High School,Single,Mecca,29669,Yes,Yes,Yes,Telephone,Student,49908,5
C100326,57,Female,1,Graduated,Single,Dammam,59950,Yes,Yes,Yes,Unknown,Student,40646,5
C100327,46,Male,4,Unknown,Widow,Abha,78201,No,No,No,Cellular,Unemployed,40699,3
C100328,35,Female,1,High School,Married,Jazan,51263,Yes,Yes,No,Unknown,Private Employee,26716,1
C100329,42,Male,2,Doctorate,Widow,Medina,68847,No,Yes,Yes,Unknown,Self-employed,29713,5
C100330,62,Male,4,High School,Divorced,Tabuk,51136,Yes,Yes,No,Telephone,Student,12725,5
C100331,51,Male,1,Graduated,Single,Dammam,25832,No,No,No,Unknown,Businessman,11283,1
C100332,47,Male,1,Unknown,Married,Abha,79377,No,No,No,Cellular,Private Employee,48673,5
C100333,35,Female,0,High School,Divorced,Jeddah,15929,Yes,No,No,Telephone,Freelancer,32475,4
C100334,38,Female,1,Doctorate,Married,Abha,20982,Yes,Yes,No,Unknown,Freelancer,32722,4
C100335,40,Female,1,Post-Graduate,Divorced,Jeddah,40443,No,No,No,Cellular,Student,36926,5
C100336,57,Female,2,High School,Widow,Tabuk,33385,Yes,Yes,Yes,Telephone,Student,21235,5
C100337,59,Female,0,High School,Divorced,Dammam,25538,No,No,No,Telephone,Self-employed,14096,3
C100338,36,Male,1,Doctorate,Divorced,Dammam,22579,Yes,Yes,Yes,Unknown,Businessman,38378,5
C100339,32,Male,3,Unknown,Divorced,Medina,46941,No,No,Yes,Telephone,Government Employee,10183,1
C100340,48,Female,3,High School,Single,Dammam,46497,Yes,No,Yes,Unknown,Unemployed,17577,1
C100341,40,Male,4,High School,Divorced,Jazan,92657,Yes,No,Yes,Telephone,Businessman,49209,5
C100342,40,Male,4,Doctorate,Single,Riyadh,42232,Yes,No,Yes,Unknown,Self-employed,20385,4
C100343,29,Female,1,Doctorate,Widow,Mecca,27274,Yes,Yes,Yes,Cellular,Private Employee,7408,4
C100344,55,Male,1,Unknown,Widow,Mecca,90396,No,Yes,No,Telephone,Student,46053,2
C100345,39,Male,2,Doctorate,Widow,Jazan,92578,No,No,No,Telephone,Businessman,17347,1
C100346,38,Female,3,High School,Married,Taif,25180,Yes,No,No,Unknown,Businessman,25778,4
C100347,65,Male,3,Graduated,Widow,Medina,13796,No,No,Yes,Telephone,Businessman,39848,3
C100348,36,Female,3,Graduated,Widow,Taif,62255,No,Yes,No,Telephone,Freelancer,17348,3
C100349,60,Male,2,Graduated,Widow,Medina,85039,Yes,Yes,Yes,Unknown,Student,24606,2
C100350,58,Male,0,Graduated,Single,Tabuk,56229,Yes,Yes,Yes,Telephone,Student,16004,2
C100351,54,Female,1,High School,Married,Tabuk,53450,No,Yes,Yes,Cellular,Businessman,4312,5
C100352,26,Female,3,Unknown,Married,Mecca,49513,Yes,Yes,Yes,Cellular,Government Employee,11103,4
C100353,61,Female,1,Doctorate,Divorced,Jeddah,20030,Yes,No,Yes,Cellular,Freelancer,38500,5
C100354,29,Male,4,Graduated,Married,Mecca,52431,No,Yes,No,Telephone,Private Employee,16281,1
C100355,36,Female,3,High School,Widow,Jeddah,39131,No,No,No,Telephone,Freelancer,37944,5
C100356,35,Female,0,Graduated,Widow,Tabuk,81641,Yes,No,Yes,Unknown,Businessman,29040,2
C100357,48,Female,3,Post-Graduate,Single,Mecca,53572,Yes,Yes,Yes,Unknown,Self-employed,16610,4
C100358,57,Male,0,Uneducated,Widow,Jazan,78603,Yes,Yes,No,Telephone,Private Employee,23411,3
C100359,29,Male,2,Doctorate,Widow,Riyadh,45146,Yes,No,No,Telephone,Freelancer,18449,3
C100360,49,Female,4,Post-Graduate,Single,Jeddah,65797,Yes,No,Yes,Cellular,Self-employed,37074,1
C100361,30,Male,3,Unknown,Single,Taif,74904,Yes,No,Yes,Unknown,Unemployed,38853,4
C100362,45,Male,2,Unknown,Widow,Mecca,98694,No,No,No,Unknown,Freelancer,13875,2
C100363,38,Male,4,Doctorate,Divorced,Abha,89235,No,No,No,Cellular,Government Employee,11869,2
C100364,53,Female,0,High School,Widow,Dammam,29706,No,Yes,Yes,Telephone,Freelancer,15299,2
C100365,64,Male,4,Graduated,Divorced,Jeddah,18009,No,Yes,Yes,Telephone,Freelancer,39644,2
C100366,42,Male,1,High School,Divorced,Taif,86607,No,No,No,Telephone,Student,38456,2
C100367,24,Male,0,Doctorate,Married,Mecca,33373,No,Yes,Yes,Unknown,Student,45259,4
C100368,41,Female,4,Doctorate,Widow,Medina,32033,Yes,Yes,Yes,Cellular,Unemployed,43299,2
C100369,29,Male,3,Unknown,Divorced,Jeddah,16840,Yes,No,No,Unknown,Private Employee,24436,3
C100370,52,Male,1,Post-Graduate,Widow,Taif,60532,No,No,No,Unknown,Government Employee,37779,1
C100371,58,Male,1,Doctorate,Divorced,Dammam,67310,No,No,No,Unknown,Businessman,39562,4
C100372,61,Female,1,Unknown,Divorced,Jazan,97823,No,No,Yes,Unknown,Student,15516,4
C100373,43,Male,0,Uneducated,Widow,Tabuk,78944,Yes,Yes,No,Telephone,Businessman,27174,3
C100374,52,Male,4,High School,Single,Mecca,94105,No,No,Yes,Unknown,Freelancer,19583,3
C100375,60,Male,4,Unknown,Widow,Jazan,74264,Yes,No,Yes,Cellular,Government Employee,4889,5
C100376,65,Male,1,Uneducated,Single,Taif,25653,Yes,No,Yes,Telephone,Businessman,38657,3
C100377,32,Male,2,Doctorate,Divorced,Dammam,86919,No,Yes,No,Telephone,Unemployed,46759,1
C100378,24,Male,4,Uneducated,Divorced,Jeddah,32621,No,Yes,No,Unknown,Self-employed,48135,5
C100379,46,Male,0,High School,Divorced,Abha,55964,Yes,No,No,Unknown,Unemployed,48632,1
C100380,56,Female,0,Unknown,Single,Dammam,21326,Yes,No,Yes,Cellular,Unemployed,3684,2
C100381,60,Female,3,Unknown,Married,Mecca,99245,Yes,Yes,No,Cellular,Private Employee,49262,3
C100382,31,Female,1,Post-Graduate,Divorced,Taif,39617,Yes,No,Yes,Cellular,Government Employee,19997,4
C100383,36,Male,3,High School,Divorced,Tabuk,94125,No,Yes,Yes,Unknown,Private Employee,13204,5
C100384,56,Male,3,High School,Divorced,Medina,54850,No,Yes,Yes,Telephone,Self-employed,33650,3
C100385,22,Male,4,Doctorate,Married,Jazan,28325,No,No,No,Unknown,Private Employee,46142,5
C100386,22,Female,0,Doctorate,Divorced,Riyadh,30807,No,No,No,Telephone,Freelancer,9567,2
C100387,42,Female,1,Graduated,Married,Riyadh,67541,No,No,No,Telephone,Unemployed,18963,3
C100388,43,Female,3,Doctorate,Widow,Mecca,15259,Yes,Yes,No,Telephone,Unemployed,20652,5
C100389,45,Male,1,Post-Graduate,Married,Mecca,88230,Yes,Yes,Yes,Unknown,Government Employee,6525,1
C100390,39,Male,2,Graduated,Widow,Dammam,70370,Yes,Yes,Yes,Cellular,Government Employee,23154,1
C100391,31,Male,1,Graduated,Single,Medina,30203,No,Yes,No,Cellular,Government Employee,9547,4
C100392,55,Female,1,Graduated,Widow,Jazan,41816,Yes,No,Yes,Telephone,Unemployed,11750,4
C100393,40,Female,3,Post-Graduate,Widow,Abha,19392,No,No,Yes,Cellular,Student,14675,2
C100394,43,Female,2,Post-Graduate,Single,Taif,20127,Yes,Yes,No,Cellular,Businessman,16843,3
C100395,47,Male,2,Graduated,Married,Taif,29758,No,No,No,Unknown,Unemployed,34500,1
C100396,36,Female,1,Uneducated,Widow,Abha,23950,No,Yes,No,Unknown,Freelancer,9645,4
C100397,20,Male,2,Uneducated,Widow,Jazan,11518,No,No,No,Cellular,Government Employee,30851,3
C100398,60,Male,4,Graduated,Divorced,Jazan,53917,No,Yes,Yes,Telephone,Student,28131,1
C100399,29,Male,2,Doctorate,Divorced,Medina,77488,No,No,Yes,Telephone,Government Employee,5611,1
C100400,51,Female,2,Unknown,Divorced,Mecca,65797,No,No,Yes,Unknown,Government Employee,14713,3
C100401,42,Female,0,Graduated,Divorced,Mecca,93359,Yes,Yes,No,Unknown,Businessman,37817,4
C100402,35,Male,0,Post-Graduate,Single,Dammam,28958,No,No,No,Telephone,Private Employee,48153,5
C100403,35,Female,0,Unknown,Divorced,Tabuk,15018,Yes,Yes,No,Unknown,Freelancer,8161,3
C100404,60,Female,3,Graduated,Single,Dammam,43666,Yes,No,Yes,Cellular,Student,20103,3
C100405,59,Male,0,High School,Widow,Medina,67271,No,Yes,No,Unknown,Freelancer,5997,5
C100406,45,Male,2,High School,Single,Taif,37149,Yes,No,Yes,Telephone,Government Employee,33306,5
C100407,60,Female,0,Uneducated,Married,Riyadh,52547,Yes,Yes,No,Unknown,Freelancer,42932,4
C100408,57,Female,4,High School,Widow,Jazan,83093,Yes,No,No,Telephone,Government Employee,32123,2
C100409,49,Female,1,Post-Graduate,Married,Taif,43514,No,Yes,Yes,Unknown,Private Employee,39787,3
C100410,25,Male,4,High School,Divorced,Mecca,51331,No,No,Yes,Cellular,Student,41334,2
C100411,59,Female,4,Graduated,Widow,Riyadh,47209,No,Yes,No,Unknown,Self-employed,27800,5
C100412,27,Male,3,Uneducated,Married,Jeddah,84808,No,Yes,Yes,Unknown,Private Employee,39049,4
C100413,42,Male,3,Post-Graduate,Divorced,Tabuk,57602,Yes,No,No,Cellular,Unemployed,29474,4
C100414,49,Female,3,Uneducated,Married,Taif,47802,Yes,No,No,Unknown,Self-employed,47784,1
C100415,44,Female,3,Graduated,Married,Riyadh,91117,Yes,Yes,Yes,Unknown,Student,29789,1
C100416,40,Male,1,Post-Graduate,Widow,Jeddah,58535,Yes,No,Yes,Cellular,Private Employee,27186,2
C100417,31,Female,1,High School,Married,Mecca,18495,Yes,Yes,No,Telephone,Self-employed,47805,5
C100418,48,Male,1,Graduated,Single,Tabuk,30875,Yes,No,Yes,Cellular,Freelancer,5118,4
C100419,53,Female,3,Unknown,Widow,Mecca,80430,Yes,Yes,No,Telephone,Unemployed,6918,3
C100420,45,Male,2,Graduated,Widow,Taif,26260,Yes,Yes,No,Unknown,Unemployed,10325,2
C100421,43,Female,2,Uneducated,Married,Jazan,37536,No,Yes,No,Unknown,Freelancer,7854,4
C100422,65,Female,1,High School,Divorced,Mecca,68284,No,No,No,Unknown,Government Employee,41956,1
C100423,28,Male,4,High School,Single,Medina,58608,No,No,No,Unknown,Self-employed,40200,3
C100424,50,Female,2,Uneducated,Married,Dammam,89619,No,No,No,Unknown,Self-employed,4835,2
C100425,57,Female,1,Post-Graduate,Single,Mecca,57731,No,No,Yes,Telephone,Freelancer,13215,5
C100426,52,Female,4,High School,Widow,Jazan,94984,Yes,No,Yes,Telephone,Private Employee,3932,1
C100427,41,Male,2,Uneducated,Married,Dammam,46479,Yes,Yes,No,Telephone,Private Employee,40316,1
C100428,53,Male,1,High School,Single,Taif,92103,Yes,No,Yes,Telephone,Student,38045,5
C100429,25,Male,3,Post-Graduate,Married,Medina,43563,Yes,Yes,Yes,Unknown,Freelancer,32888,2
C100430,22,Female,4,High School,Single,Medina,18345,Yes,No,Yes,Cellular,Self-employed,18986,5
C100431,57,Female,3,Unknown,Single,Tabuk,93087,Yes,Yes,No,Cellular,Private Employee,8464,4
C100432,32,Male,4,Post-Graduate,Married,Jazan,49316,Yes,No,Yes,Unknown,Private Employee,45115,2
C100433,57,Female,0,High School,Widow,Mecca,74566,Yes,No,No,Unknown,Government Employee,45289,3
C100434,36,Male,2,High School,Divorced,Jazan,24610,Yes,No,Yes,Telephone,Student,33835,4
C100435,30,Male,0,Graduated,Divorced,Jeddah,68090,No,Yes,Yes,Cellular,Unemployed,18191,2
C100436,39,Female,2,Post-Graduate,Widow,Jeddah,99751,No,Yes,Yes,Telephone,Self-employed,15576,4
C100437,30,Male,4,Doctorate,Married,Tabuk,77694,No,No,No,Cellular,Government Employee,33931,3
C100438,43,Male,2,High School,Divorced,Tabuk,68944,No,No,No,Telephone,Businessman,29481,1
C100439,46,Female,1,Graduated,Divorced,Riyadh,36504,Yes,No,No,Telephone,Businessman,24092,4
C100440,44,Female,4,Post-Graduate,Married,Medina,90944,No,No,Yes,Cellular,Self-employed,13513,3
C100441,50,Female,0,Doctorate,Widow,Jazan,42747,No,No,Yes,Cellular,Businessman,44918,3
C100442,37,Female,3,High School,Single,Jazan,27600,Yes,No,No,Cellular,Unemployed,12857,5
C100443,39,Male,4,Unknown,Widow,Medina,52970,No,No,Yes,Cellular,Unemployed,7456,3
C100444,43,Female,1,Uneducated,Divorced,Jazan,39842,No,No,No,Cellular,Freelancer,49141,3
C100445,36,Male,1,Unknown,Widow,Taif,61944,No,Yes,Yes,Unknown,Government Employee,4061,5
C100446,47,Male,4,High School,Widow,Mecca,85342,No,Yes,Yes,Unknown,Businessman,39588,1
C100447,54,Male,4,Unknown,Widow,Medina,19579,No,No,No,Telephone,Freelancer,12974,3
C100448,24,Male,4,High School,Widow,Abha,66675,Yes,No,No,Cellular,Student,28555,1
C100449,20,Male,2,Graduated,Married,Mecca,39214,No,No,Yes,Unknown,Government Employee,49851,5
C100450,29,Male,1,Uneducated,Divorced,Dammam,23224,Yes,Yes,Yes,Unknown,Government Employee,7539,3
C100451,40,Male,1,Uneducated,Divorced,Dammam,65611,No,Yes,Yes,Telephone,Businessman,11998,4
C100452,27,Female,0,Graduated,Married,Taif,16450,No,No,No,Cellular,Self-employed,27936,5
C100453,27,Male,1,Post-Graduate,Single,Dammam,37477,Yes,No,No,Unknown,Government Employee,30205,2
C100454,33,Male,4,High School,Widow,Mecca,76680,Yes,No,Yes,Cellular,Private Employee,30526,4
C100455,26,Female,2,High School,Single,Taif,95459,No,Yes,Yes,Unknown,Freelancer,28538,4
C100456,21,Female,2,Unknown,Married,Medina,33246,Yes,Yes,Yes,Cellular,Freelancer,33789,1
C100457,23,Male,2,High School,Widow,Dammam,64950,Yes,Yes,Yes,Unknown,Unemployed,46821,2
C100458,43,Male,1,Unknown,Widow,Medina,50116,No,No,No,Unknown,Government Employee,4866,1
C100459,41,Male,3,Unknown,Married,Taif,16094,No,Yes,Yes,Cellular,Businessman,25850,2
C100460,25,Female,0,Unknown,Widow,Jazan,64404,No,Yes,Yes,Telephone,Private Employee,33768,3
C100461,28,Female,4,High School,Single,Jazan,74592,Yes,Yes,Yes,Unknown,Self-employed,12345,2
C100462,62,Male,0,Doctorate,Widow,Mecca,90611,Yes,Yes,Yes,Telephone,Self-employed,46212,3
C100463,41,Female,4,Post-Graduate,Divorced,Dammam,52984,No,No,Yes,Unknown,Freelancer,5242,4
C100464,60,Male,1,Uneducated,Single,Dammam,93182,Yes,Yes,Yes,Telephone,Government Employee,3767,5
C100465,50,Female,2,Uneducated,Widow,Jazan,38159,No,No,No,Cellular,Freelancer,21304,5
C100466,41,Female,1,High School,Divorced,Jazan,81945,No,Yes,No,Unknown,Government Employee,7136,3
C100467,47,Male,4,Uneducated,Single,Medina,69956,Yes,Yes,No,Cellular,Unemployed,25781,3
C100468,48,Female,4,Unknown,Married,Taif,76965,Yes,Yes,Yes,Cellular,Self-employed,26195,5
C100469,58,Male,4,Post-Graduate,Single,Abha,57534,Yes,Yes,No,Cellular,Businessman,47590,2
C100470,60,Male,1,Post-Graduate,Widow,Medina,46493,Yes,No,No,Telephone,Student,30607,4
C100471,49,Female,1,Doctorate,Divorced,Riyadh,19813,No,No,Yes,Unknown,Student,41927,1
C100472,23,Female,1,Uneducated,Widow,Dammam,41780,No,Yes,No,Telephone,Student,15672,2
C100473,42,Male,1,High School,Married,Taif,26183,Yes,Yes,No,Cellular,Freelancer,21053,3
C100474,20,Male,4,High School,Single,Jazan,40432,No,No,Yes,Unknown,Freelancer,42979,4
C100475,29,Male,2,High School,Single,Taif,43482,Yes,No,No,Unknown,Self-employed,49514,4
C100476,38,Male,4,Unknown,Single,Tabuk,41626,No,No,No,Cellular,Freelancer,9893,3
C100477,37,Female,4,High School,Widow,Mecca,56748,Yes,Yes,Yes,Unknown,Unemployed,34820,2
C100478,57,Female,1,Post-Graduate,Widow,Mecca,23626,No,No,No,Cellular,Student,10064,5
C100479,61,Male,4,Unknown,Single,Medina,57277,No,No,Yes,Telephone,Freelancer,31851,4
C100480,56,Male,3,Doctorate,Widow,Riyadh,38316,Yes,Yes,No,Cellular,Government Employee,30010,1
C100481,49,Female,2,Doctorate,Divorced,Tabuk,42597,No,No,Yes,Telephone,Private Employee,48816,3
C100482,30,Male,4,Post-Graduate,Divorced,Taif,55683,Yes,No,Yes,Telephone,Government Employee,43396,5
C100483,34,Female,2,Unknown,Single,Taif,51015,No,Yes,No,Cellular,Government Employee,49359,4
C100484,42,Female,3,High School,Married,Dammam,52304,Yes,Yes,Yes,Unknown,Government Employee,36169,5
C100485,38,Male,3,Post-Graduate,Single,Medina,22237,Yes,No,No,Cellular,Freelancer,25292,5
C100486,42,Female,1,Graduated,Single,Mecca,90402,Yes,No,Yes,Telephone,Unemployed,5672,2
C100487,55,Male,2,Unknown,Widow,Medina,38701,Yes,Yes,No,Unknown,Unemployed,17153,2
C100488,20,Female,1,Unknown,Widow,Jazan,64332,Yes,No,Yes,Unknown,Student,29189,5
C100489,44,Female,2,High School,Widow,Tabuk,57777,Yes,No,No,Cellular,Freelancer,11814,3
C100490,64,Male,4,Post-Graduate,Married,Jeddah,76512,No,No,Yes,Unknown,Self-employed,25828,5
C100491,34,Female,2,Post-Graduate,Single,Jazan,91108,No,No,No,Cellular,Self-employed,4449,5
C100492,48,Male,2,Graduated,Married,Jeddah,99392,No,Yes,No,Unknown,Government Employee,4807,5
C100493,51,Female,1,Graduated,Married,Jazan,50609,No,No,Yes,Unknown,Unemployed,36289,4
C100494,29,Female,0,Post-Graduate,Single,Tabuk,86997,Yes,Yes,Yes,Unknown,Private Employee,13564,2
C100495,35,Male,1,Unknown,Widow,Jeddah,53488,Yes,Yes,No,Unknown,Freelancer,47915,4
C100496,46,Female,3,Uneducated,Divorced,Dammam,22564,No,No,Yes,Unknown,Private Employee,19515,4
C100497,25,Male,2,Graduated,Married,Medina,56032,Yes,No,No,Cellular,Student,19893,1
C100498,58,Male,4,Unknown,Divorced,Jeddah,32087,Yes,Yes,Yes,Telephone,Private Employee,23071,1
C100499,56,Female,0,Uneducated,Married,Jazan,33827,Yes,No,Yes,Unknown,Self-employed,42303,3
C100500,56,Male,3,Doctorate,Married,Abha,29510,No,Yes,Yes,Unknown,Unemployed,10882,3
C100501,38,Male,2,Doctorate,Married,Abha,31939,Yes,No,Yes,Unknown,Self-employed,43186,3
C100502,49,Female,3,Unknown,Single,Tabuk,42272,No,Yes,Yes,Telephone,Self-employed,29495,1
C100503,42,Male,3,Doctorate,Single,Abha,21921,No,No,Yes,Telephone,Government Employee,11878,4
C100504,32,Female,3,Graduated,Widow,Taif,20798,No,Yes,No,Cellular,Government Employee,39782,4
C100505,59,Female,2,Graduated,Divorced,Riyadh,79147,Yes,Yes,Yes,Telephone,Student,40439,5
C100506,31,Female,0,Post-Graduate,Single,Riyadh,49707,No,Yes,No,Unknown,Businessman,47837,4
C100507,52,Male,4,High School,Single,Medina,22930,No,Yes,Yes,Unknown,Government Employee,7781,2
C100508,51,Male,4,Doctorate,Single,Riyadh,60002,Yes,Yes,No,Cellular,Self-employed,46227,3
C100509,31,Female,1,High School,Widow,Riyadh,30437,Yes,Yes,No,Telephone,Freelancer,40390,3
C100510,33,Female,3,Doctorate,Single,Taif,64216,No,No,Yes,Telephone,Government Employee,42330,1
C100511,60,Female,0,Doctorate,Widow,Dammam,96895,Yes,Yes,Yes,Cellular,Self-employed,35016,1
C100512,31,Female,1,Doctorate,Divorced,Taif,47330,No,No,No,Cellular,Unemployed,10825,4
C100513,32,Male,4,Graduated,Married,Dammam,77924,Yes,No,No,Cellular,Businessman,17984,1
C100514,44,Male,0,Doctorate,Single,Medina,67140,No,No,Yes,Telephone,Student,5690,5
C100515,32,Male,2,Unknown,Single,Dammam,54741,No,Yes,No,Telephone,Self-employed,45214,1
C100516,45,Female,1,High School,Single,Medina,34112,Yes,No,No,Cellular,Unemployed,31870,1
C100517,35,Female,4,Uneducated,Married,Abha,51622,Yes,Yes,Yes,Telephone,Student,38014,1
C100518,59,Male,2,High School,Single,Dammam,23604,Yes,Yes,No,Cellular,Student,6828,4
C100519,56,Male,1,Doctorate,Single,Abha,19689,Yes,No,No,Telephone,Freelancer,43373,4
C100520,48,Male,3,Post-Graduate,Divorced,Tabuk,93453,No,No,Yes,Telephone,Student,26601,2
C100521,29,Female,1,Graduated,Divorced,Dammam,58244,Yes,No,No,Cellular,Businessman,33142,4
C100522,65,Male,3,Uneducated,Divorced,Medina,63188,No,No,No,Unknown,Private Employee,32090,4
C100523,49,Female,2,High School,Widow,Dammam,79459,Yes,Yes,Yes,Unknown,Self-employed,40249,2
C100524,62,Female,3,Post-Graduate,Widow,Tabuk,94410,No,Yes,No,Cellular,Private Employee,10120,5
C100525,61,Female,2,Post-Graduate,Widow,Riyadh,36137,Yes,No,Yes,Unknown,Private Employee,36914,4
C100526,31,Female,0,Doctorate,Married,Taif,84369,Yes,No,Yes,Unknown,Private Employee,40687,2
C100527,29,Female,2,Graduated,Married,Dammam,73790,No,Yes,Yes,Cellular,Businessman,4406,1
